"","id","date","tavg"
"1","RSM00037472",2013-01-01,0.6
"2","RSM00037472",2013-01-02,1.5
"3","RSM00037472",2013-01-03,1.4
"4","RSM00037472",2013-01-04,-0.6
"5","RSM00037472",2013-01-05,0.1
"6","RSM00037472",2013-01-06,2.1
"7","RSM00037472",2013-01-07,2.6
"8","RSM00037472",2013-01-08,0.8
"9","RSM00037472",2013-01-09,-0.5
"10","RSM00037472",2013-01-10,-1.7
"11","RSM00037472",2013-01-11,-3.6
"12","RSM00037472",2013-01-12,-1.6
"13","RSM00037472",2013-01-13,1.7
"14","RSM00037472",2013-01-14,2.4
"15","RSM00037472",2013-01-15,-0.9
"16","RSM00037472",2013-01-16,-3.1
"17","RSM00037472",2013-01-17,2.1
"18","RSM00037472",2013-01-18,2.4
"19","RSM00037472",2013-01-19,2.4
"20","RSM00037472",2013-01-20,4.8
"21","RSM00037472",2013-01-21,3.4
"22","RSM00037472",2013-01-22,5.6
"23","RSM00037472",2013-01-23,2.8
"24","RSM00037472",2013-01-24,6.9
"25","RSM00037472",2013-01-25,5.8
"26","RSM00037472",2013-01-26,5.5
"27","RSM00037472",2013-01-27,3.3
"28","RSM00037472",2013-01-28,4.9
"29","RSM00037472",2013-01-29,2.5
"30","RSM00037472",2013-01-30,0.7
"31","RSM00037472",2013-01-31,1.4
"32","RSM00037472",2013-02-01,1.2
"33","RSM00037472",2013-02-02,3.3
"34","RSM00037472",2013-02-03,2.1
"35","RSM00037472",2013-02-04,3.7
"36","RSM00037472",2013-02-05,4.9
"37","RSM00037472",2013-02-06,4
"38","RSM00037472",2013-02-07,4.7
"39","RSM00037472",2013-02-08,2.4
"40","RSM00037472",2013-02-09,3.7
"41","RSM00037472",2013-02-10,5.2
"42","RSM00037472",2013-02-11,5
"43","RSM00037472",2013-02-12,5.5
"44","RSM00037472",2013-02-13,6.3
"45","RSM00037472",2013-02-14,4.5
"46","RSM00037472",2013-02-15,5.2
"47","RSM00037472",2013-02-16,5.9
"48","RSM00037472",2013-02-17,6.2
"49","RSM00037472",2013-02-18,3.9
"50","RSM00037472",2013-02-19,4
"51","RSM00037472",2013-02-20,4.2
"52","RSM00037472",2013-02-21,4.5
"53","RSM00037472",2013-02-22,2.5
"54","RSM00037472",2013-02-23,4
"55","RSM00037472",2013-02-24,4.4
"56","RSM00037472",2013-02-25,3.6
"57","RSM00037472",2013-02-26,4
"58","RSM00037472",2013-02-27,4.4
"59","RSM00037472",2013-02-28,4.1
"60","RSM00037472",2013-03-01,5.1
"61","RSM00037472",2013-03-02,6.5
"62","RSM00037472",2013-03-03,5.4
"63","RSM00037472",2013-03-04,3.7
"64","RSM00037472",2013-03-05,3.3
"65","RSM00037472",2013-03-06,1.4
"66","RSM00037472",2013-03-07,1.2
"67","RSM00037472",2013-03-08,3
"68","RSM00037472",2013-03-09,4.2
"69","RSM00037472",2013-03-10,4.7
"70","RSM00037472",2013-03-11,4.3
"71","RSM00037472",2013-03-12,4.9
"72","RSM00037472",2013-03-13,6.7
"73","RSM00037472",2013-03-14,7.9
"74","RSM00037472",2013-03-15,5.8
"75","RSM00037472",2013-03-16,8
"76","RSM00037472",2013-03-17,12.4
"77","RSM00037472",2013-03-18,8.4
"78","RSM00037472",2013-03-19,3.8
"79","RSM00037472",2013-03-20,6
"80","RSM00037472",2013-03-21,7.1
"81","RSM00037472",2013-03-22,6.8
"82","RSM00037472",2013-03-23,6.9
"83","RSM00037472",2013-03-24,10
"84","RSM00037472",2013-03-25,5.5
"85","RSM00037472",2013-03-26,4.5
"86","RSM00037472",2013-03-27,6.5
"87","RSM00037472",2013-03-28,7.6
"88","RSM00037472",2013-03-29,5.5
"89","RSM00037472",2013-03-30,3.3
"90","RSM00037472",2013-03-31,6
"91","RSM00037472",2013-04-01,7.5
"92","RSM00037472",2013-04-02,8.6
"93","RSM00037472",2013-04-03,8.1
"94","RSM00037472",2013-04-04,8.7
"95","RSM00037472",2013-04-05,8.9
"96","RSM00037472",2013-04-06,11.4
"97","RSM00037472",2013-04-07,14.1
"98","RSM00037472",2013-04-08,11.5
"99","RSM00037472",2013-04-09,16.8
"100","RSM00037472",2013-04-10,14
"101","RSM00037472",2013-04-11,10.9
"102","RSM00037472",2013-04-12,10.8
"103","RSM00037472",2013-04-13,11.5
"104","RSM00037472",2013-04-14,10.9
"105","RSM00037472",2013-04-15,10.1
"106","RSM00037472",2013-04-16,9.3
"107","RSM00037472",2013-04-17,7.7
"108","RSM00037472",2013-04-18,9.4
"109","RSM00037472",2013-04-19,9.5
"110","RSM00037472",2013-04-20,9.9
"111","RSM00037472",2013-04-21,10.8
"112","RSM00037472",2013-04-22,13.3
"113","RSM00037472",2013-04-23,14
"114","RSM00037472",2013-04-24,10.2
"115","RSM00037472",2013-04-25,11.9
"116","RSM00037472",2013-04-26,16.1
"117","RSM00037472",2013-04-27,13.7
"118","RSM00037472",2013-04-28,12.1
"119","RSM00037472",2013-04-29,12.4
"120","RSM00037472",2013-04-30,17.4
"121","RSM00037472",2013-05-01,13
"122","RSM00037472",2013-05-02,14.5
"123","RSM00037472",2013-05-03,14.3
"124","RSM00037472",2013-05-04,16.2
"125","RSM00037472",2013-05-05,16.6
"126","RSM00037472",2013-05-06,18.4
"127","RSM00037472",2013-05-07,22
"128","RSM00037472",2013-05-08,16.1
"129","RSM00037472",2013-05-09,15.1
"130","RSM00037472",2013-05-10,14.9
"131","RSM00037472",2013-05-11,14.5
"132","RSM00037472",2013-05-12,13.7
"133","RSM00037472",2013-05-13,14.8
"134","RSM00037472",2013-05-14,15.9
"135","RSM00037472",2013-05-15,20.5
"136","RSM00037472",2013-05-16,19.1
"137","RSM00037472",2013-05-17,18.6
"138","RSM00037472",2013-05-18,20.4
"139","RSM00037472",2013-05-19,20.3
"140","RSM00037472",2013-05-20,17
"141","RSM00037472",2013-05-21,16.7
"142","RSM00037472",2013-05-22,16.9
"143","RSM00037472",2013-05-23,17.6
"144","RSM00037472",2013-05-24,17
"145","RSM00037472",2013-05-25,16.3
"146","RSM00037472",2013-05-26,17.9
"147","RSM00037472",2013-05-27,20.3
"148","RSM00037472",2013-05-28,20.6
"149","RSM00037472",2013-05-29,22.5
"150","RSM00037472",2013-05-30,21.7
"151","RSM00037472",2013-05-31,20.5
"152","RSM00037472",2013-06-01,20.1
"153","RSM00037472",2013-06-02,23.1
"154","RSM00037472",2013-06-03,19.8
"155","RSM00037472",2013-06-04,21.7
"156","RSM00037472",2013-06-05,20.7
"157","RSM00037472",2013-06-06,20.4
"158","RSM00037472",2013-06-07,20.3
"159","RSM00037472",2013-06-08,21.1
"160","RSM00037472",2013-06-09,20
"161","RSM00037472",2013-06-10,21.6
"162","RSM00037472",2013-06-11,21.1
"163","RSM00037472",2013-06-12,22.7
"164","RSM00037472",2013-06-13,23.9
"165","RSM00037472",2013-06-14,23
"166","RSM00037472",2013-06-15,23.4
"167","RSM00037472",2013-06-16,24.1
"168","RSM00037472",2013-06-17,23.2
"169","RSM00037472",2013-06-18,22.7
"170","RSM00037472",2013-06-19,23.8
"171","RSM00037472",2013-06-20,21.8
"172","RSM00037472",2013-06-21,20.6
"173","RSM00037472",2013-06-22,22.6
"174","RSM00037472",2013-06-23,23.1
"175","RSM00037472",2013-06-24,23.6
"176","RSM00037472",2013-06-25,23.7
"177","RSM00037472",2013-06-26,25.5
"178","RSM00037472",2013-06-27,25.3
"179","RSM00037472",2013-06-28,26.9
"180","RSM00037472",2013-06-29,25.2
"181","RSM00037472",2013-06-30,26.3
"182","RSM00037472",2013-07-01,25
"183","RSM00037472",2013-07-02,23.1
"184","RSM00037472",2013-07-03,21.3
"185","RSM00037472",2013-07-04,22.4
"186","RSM00037472",2013-07-05,23.6
"187","RSM00037472",2013-07-06,24.1
"188","RSM00037472",2013-07-07,23.8
"189","RSM00037472",2013-07-08,23.7
"190","RSM00037472",2013-07-09,27
"191","RSM00037472",2013-07-10,28.6
"192","RSM00037472",2013-07-11,26.1
"193","RSM00037472",2013-07-12,25
"194","RSM00037472",2013-07-13,26.8
"195","RSM00037472",2013-07-14,25.8
"196","RSM00037472",2013-07-15,26
"197","RSM00037472",2013-07-16,26.5
"198","RSM00037472",2013-07-17,26
"199","RSM00037472",2013-07-18,25.9
"200","RSM00037472",2013-07-19,22.4
"201","RSM00037472",2013-07-20,23.4
"202","RSM00037472",2013-07-21,23.4
"203","RSM00037472",2013-07-22,24.8
"204","RSM00037472",2013-07-23,23.7
"205","RSM00037472",2013-07-24,24.3
"206","RSM00037472",2013-07-25,24.2
"207","RSM00037472",2013-07-26,23
"208","RSM00037472",2013-07-27,25.2
"209","RSM00037472",2013-07-28,21.6
"210","RSM00037472",2013-07-29,22.1
"211","RSM00037472",2013-07-30,22.2
"212","RSM00037472",2013-07-31,23.8
"213","RSM00037472",2013-08-01,22.4
"214","RSM00037472",2013-08-02,25.9
"215","RSM00037472",2013-08-03,24.9
"216","RSM00037472",2013-08-04,21.5
"217","RSM00037472",2013-08-05,22.3
"218","RSM00037472",2013-08-06,26.2
"219","RSM00037472",2013-08-07,26.2
"220","RSM00037472",2013-08-08,23.7
"221","RSM00037472",2013-08-09,24.7
"222","RSM00037472",2013-08-10,26.1
"223","RSM00037472",2013-08-11,23.6
"224","RSM00037472",2013-08-12,22.4
"225","RSM00037472",2013-08-13,23.3
"226","RSM00037472",2013-08-14,24.8
"227","RSM00037472",2013-08-15,25.1
"228","RSM00037472",2013-08-16,25.3
"229","RSM00037472",2013-08-17,24.9
"230","RSM00037472",2013-08-18,25.3
"231","RSM00037472",2013-08-19,22.4
"232","RSM00037472",2013-08-20,23.9
"233","RSM00037472",2013-08-21,23.6
"234","RSM00037472",2013-08-22,25.6
"235","RSM00037472",2013-08-23,23.7
"236","RSM00037472",2013-08-24,24.6
"237","RSM00037472",2013-08-25,NA
"238","RSM00037472",2013-08-26,25
"239","RSM00037472",2013-08-27,24.2
"240","RSM00037472",2013-08-28,23.9
"241","RSM00037472",2013-08-29,22.6
"242","RSM00037472",2013-08-30,24.4
"243","RSM00037472",2013-08-31,24.4
"244","RSM00037472",2013-09-01,23.8
"245","RSM00037472",2013-09-02,19.6
"246","RSM00037472",2013-09-03,22.8
"247","RSM00037472",2013-09-04,22.6
"248","RSM00037472",2013-09-05,17.2
"249","RSM00037472",2013-09-06,20.3
"250","RSM00037472",2013-09-07,21.7
"251","RSM00037472",2013-09-08,20.6
"252","RSM00037472",2013-09-09,19.2
"253","RSM00037472",2013-09-10,18.1
"254","RSM00037472",2013-09-11,19.2
"255","RSM00037472",2013-09-12,20.6
"256","RSM00037472",2013-09-13,19.4
"257","RSM00037472",2013-09-14,21.2
"258","RSM00037472",2013-09-15,21.9
"259","RSM00037472",2013-09-16,22.2
"260","RSM00037472",2013-09-17,20.1
"261","RSM00037472",2013-09-18,21.7
"262","RSM00037472",2013-09-19,22.6
